table_index,name,c_entry,source_file,offset,sexptype,eval,arity,kernel,evaluation_policy,argument_policy,coercion_policy,vector_policy,index_policy,attribute_policy,dispatch_policy,effect_policy,replacement_policy,attribute_operation,matrix_operation
75,!=,do_relop,src/main/relop.c,NEOP,BUILTINSXP,1,2,relational,eager,fixed,common-comparable,elementwise-recycle,none,binary,ops-group,pure,none,none,none
76,<,do_relop,src/main/relop.c,LTOP,BUILTINSXP,1,2,relational,eager,fixed,common-comparable,elementwise-recycle,none,binary,ops-group,pure,none,none,none
77,<=,do_relop,src/main/relop.c,LEOP,BUILTINSXP,1,2,relational,eager,fixed,common-comparable,elementwise-recycle,none,binary,ops-group,pure,none,none,none
78,>=,do_relop,src/main/relop.c,GEOP,BUILTINSXP,1,2,relational,eager,fixed,common-comparable,elementwise-recycle,none,binary,ops-group,pure,none,none,none
79,>,do_relop,src/main/relop.c,GTOP,BUILTINSXP,1,2,relational,eager,fixed,common-comparable,elementwise-recycle,none,binary,ops-group,pure,none,none,none
80,&,do_logic,src/main/eval.c,1,BUILTINSXP,1,2,logical,eager,fixed,logical,elementwise-recycle,none,binary,ops-group,pure,none,none,none
81,|,do_logic,src/main/eval.c,2,BUILTINSXP,1,2,logical,eager,fixed,logical,elementwise-recycle,none,binary,ops-group,pure,none,none,none
82,!,do_logic,src/main/eval.c,3,BUILTINSXP,1,1,logical,eager,fixed,logical,elementwise-recycle,none,binary,ops-group,pure,none,none,none
83,&&,do_logic2,src/main/logic.c,1,SPECIALSXP,0,2,logical-short-circuit,special,fixed,logical,scalar-lazy,none,drop,none,pure,none,none,none
84,||,do_logic2,src/main/logic.c,2,SPECIALSXP,0,2,logical-short-circuit,special,fixed,logical,scalar-lazy,none,drop,none,pure,none,none,none
85,:,do_colon,src/main/seq.c,0,BUILTINSXP,1,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
86,~,do_tilde,,0,SPECIALSXP,0,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
